Ocuarb_v01_G000267.t1	Ocuarb_v01_G000267
Ocuarb_v01_G000268.t0	Ocuarb_v01_G000268
Ocuarb_v01_G000268.t1	Ocuarb_v01_G000268
Ocuarb_v01_G000269.t0	Ocuarb_v01_G000269
Ocuarb_v01_G000270.t0	Ocuarb_v01_G000270
Ocuarb_v01_G000271.t0	Ocuarb_v01_G000271
Ocuarb_v01_G000272.t0	Ocuarb_v01_G000272
Ocuarb_v01_G000273.t0	Ocuarb_v01_G000273
Ocuarb_v01_G000274.t0	Ocuarb_v01_G000274
Ocuarb_v01_G000275.t0	Ocuarb_v01_G000275
Ocuarb_v01_G000276.t0	Ocuarb_v01_G000276
Ocuarb_v01_G000277.t0	Ocuarb_v01_G000277
Ocuarb_v01_G000278.t0	Ocuarb_v01_G000278
Ocuarb_v01_G000279.t0	Ocuarb_v01_G000279
Ocuarb_v01_G000279.t1	Ocuarb_v01_G000279
Ocuarb_v01_G000280.t0	Ocuarb_v01_G000280
Ocuarb_v01_G000281.t0	Ocuarb_v01_G000281
Ocuarb_v01_G000282.t0	Ocuarb_v01_G000282
Ocuarb_v01_G000283.t0	Ocuarb_v01_G000283
Ocuarb_v01_G000284.t0	Ocuarb_v01_G000284
Ocuarb_v01_G000285.t0	Ocuarb_v01_G000285
Ocuarb_v01_G000286.t0	Ocuarb_v01_G000286
Ocuarb_v01_G000287.t0	Ocuarb_v01_G000287
Ocuarb_v01_G000288.t0	Ocuarb_v01_G000288
Ocuarb_v01_G000289.t0	Ocuarb_v01_G000289
Ocuarb_v01_G000290.t0	Ocuarb_v01_G000290
Ocuarb_v01_G000291.t0	Ocuarb_v01_G000291
Ocuarb_v01_G000292.t0	Ocuarb_v01_G000292
Ocuarb_v01_G000294.t0	Ocuarb_v01_G000294
Ocuarb_v01_G000295.t0	Ocuarb_v01_G000295
Ocuarb_v01_G000296.t0	Ocuarb_v01_G000296
Ocuarb_v01_G000297.t0	Ocuarb_v01_G000297
Ocuarb_v01_G000298.t0	Ocuarb_v01_G000298
Ocuarb_v01_G000299.t0	Ocuarb_v01_G000299
Ocuarb_v01_G000299.t1	Ocuarb_v01_G000299
Ocuarb_v01_G000300.t0	Ocuarb_v01_G000300
Ocuarb_v01_G000301.t0	Ocuarb_v01_G000301
Ocuarb_v01_G000302.t0	Ocuarb_v01_G000302
Ocuarb_v01_G000303.t0	Ocuarb_v01_G000303
Ocuarb_v01_G000304.t0	Ocuarb_v01_G000304
Ocuarb_v01_G000305.t0	Ocuarb_v01_G000305
Ocuarb_v01_G000305.t1	Ocuarb_v01_G000305
Ocuarb_v01_G000305.t2	Ocuarb_v01_G000305
Ocuarb_v01_G000305.t3	Ocuarb_v01_G000305
Ocuarb_v01_G000306.t0	Ocuarb_v01_G000306
Ocuarb_v01_G000307.t0	Ocuarb_v01_G000307
Ocuarb_v01_G000308.t0	Ocuarb_v01_G000308
Ocuarb_v01_G000309.t0	Ocuarb_v01_G000309
Ocuarb_v01_G000310.t0	Ocuarb_v01_G000310
Ocuarb_v01_G000312.t0	Ocuarb_v01_G000312
Ocuarb_v01_G000313.t0	Ocuarb_v01_G000313
Ocuarb_v01_G000313.t1	Ocuarb_v01_G000313
Ocuarb_v01_G000314.t0	Ocuarb_v01_G000314
Ocuarb_v01_G000315.t0	Ocuarb_v01_G000315
Ocuarb_v01_G000316.t0	Ocuarb_v01_G000316
Ocuarb_v01_G000318.t0	Ocuarb_v01_G000318
Ocuarb_v01_G000320.t0	Ocuarb_v01_G000320
Ocuarb_v01_G000322.t0	Ocuarb_v01_G000322
Ocuarb_v01_G000323.t0	Ocuarb_v01_G000323
Ocuarb_v01_G000323.t1	Ocuarb_v01_G000323
Ocuarb_v01_G000324.t0	Ocuarb_v01_G000324
Ocuarb_v01_G000325.t0	Ocuarb_v01_G000325
Ocuarb_v01_G000326.t0	Ocuarb_v01_G000326
Ocuarb_v01_G000327.t0	Ocuarb_v01_G000327
Ocuarb_v01_G000328.t0	Ocuarb_v01_G000328
Ocuarb_v01_G000329.t0	Ocuarb_v01_G000329
Ocuarb_v01_G000330.t0	Ocuarb_v01_G000330
Ocuarb_v01_G000331.t0	Ocuarb_v01_G000331
Ocuarb_v01_G000332.t0	Ocuarb_v01_G000332
Ocuarb_v01_G000333.t0	Ocuarb_v01_G000333
Ocuarb_v01_G000334.t0	Ocuarb_v01_G000334
Ocuarb_v01_G000334.t1	Ocuarb_v01_G000334
Ocuarb_v01_G000335.t0	Ocuarb_v01_G000335
Ocuarb_v01_G000336.t0	Ocuarb_v01_G000336
Ocuarb_v01_G000337.t0	Ocuarb_v01_G000337
Ocuarb_v01_G000338.t0	Ocuarb_v01_G000338
Ocuarb_v01_G000339.t0	Ocuarb_v01_G000339
Ocuarb_v01_G000340.t0	Ocuarb_v01_G000340
Ocuarb_v01_G000341.t0	Ocuarb_v01_G000341
Ocuarb_v01_G000342.t0	Ocuarb_v01_G000342
Ocuarb_v01_G000343.t0	Ocuarb_v01_G000343
Ocuarb_v01_G000344.t0	Ocuarb_v01_G000344
Ocuarb_v01_G000344.t1	Ocuarb_v01_G000344
Ocuarb_v01_G000345.t0	Ocuarb_v01_G000345
Ocuarb_v01_G000345.t1	Ocuarb_v01_G000345
Ocuarb_v01_G000346.t0	Ocuarb_v01_G000346
Ocuarb_v01_G000347.t0	Ocuarb_v01_G000347
Ocuarb_v01_G000347.t1	Ocuarb_v01_G000347
Ocuarb_v01_G000348.t0	Ocuarb_v01_G000348
Ocuarb_v01_G000349.t0	Ocuarb_v01_G000349
Ocuarb_v01_G000350.t0	Ocuarb_v01_G000350
Ocuarb_v01_G000350.t1	Ocuarb_v01_G000350
Ocuarb_v01_G000351.t0	Ocuarb_v01_G000351
Ocuarb_v01_G000352.t0	Ocuarb_v01_G000352
Ocuarb_v01_G000353.t0	Ocuarb_v01_G000353
Ocuarb_v01_G000354.t0	Ocuarb_v01_G000354
Ocuarb_v01_G000355.t0	Ocuarb_v01_G000355
Ocuarb_v01_G000356.t0	Ocuarb_v01_G000356
Ocuarb_v01_G000357.t0	Ocuarb_v01_G000357
Ocuarb_v01_G000358.t0	Ocuarb_v01_G000358
Ocuarb_v01_G000359.t0	Ocuarb_v01_G000359
Ocuarb_v01_G000360.t0	Ocuarb_v01_G000360
Ocuarb_v01_G000361.t0	Ocuarb_v01_G000361
Ocuarb_v01_G000362.t0	Ocuarb_v01_G000362
Ocuarb_v01_G000364.t0	Ocuarb_v01_G000364
Ocuarb_v01_G000364.t1	Ocuarb_v01_G000364
Ocuarb_v01_G000364.t2	Ocuarb_v01_G000364
Ocuarb_v01_G000365.t0	Ocuarb_v01_G000365
Ocuarb_v01_G000366.t0	Ocuarb_v01_G000366
Ocuarb_v01_G000368.t0	Ocuarb_v01_G000368
Ocuarb_v01_G000369.t0	Ocuarb_v01_G000369
Ocuarb_v01_G000370.t0	Ocuarb_v01_G000370
Ocuarb_v01_G000371.t0	Ocuarb_v01_G000371
Ocuarb_v01_G000372.t0	Ocuarb_v01_G000372
Ocuarb_v01_G000373.t0	Ocuarb_v01_G000373
Ocuarb_v01_G000374.t0	Ocuarb_v01_G000374
Ocuarb_v01_G000374.t1	Ocuarb_v01_G000374
Ocuarb_v01_G000375.t0	Ocuarb_v01_G000375
Ocuarb_v01_G000376.t0	Ocuarb_v01_G000376
Ocuarb_v01_G000377.t0	Ocuarb_v01_G000377
Ocuarb_v01_G000378.t0	Ocuarb_v01_G000378
Ocuarb_v01_G000378.t1	Ocuarb_v01_G000378
Ocuarb_v01_G000379.t0	Ocuarb_v01_G000379
Ocuarb_v01_G000380.t0	Ocuarb_v01_G000380
Ocuarb_v01_G000381.t0	Ocuarb_v01_G000381
Ocuarb_v01_G000382.t0	Ocuarb_v01_G000382
Ocuarb_v01_G000382.t1	Ocuarb_v01_G000382
Ocuarb_v01_G000383.t0	Ocuarb_v01_G000383
Ocuarb_v01_G000384.t0	Ocuarb_v01_G000384
Ocuarb_v01_G000385.t0	Ocuarb_v01_G000385
Ocuarb_v01_G000386.t0	Ocuarb_v01_G000386
Ocuarb_v01_G000387.t0	Ocuarb_v01_G000387
Ocuarb_v01_G000388.t0	Ocuarb_v01_G000388
Ocuarb_v01_G000389.t0	Ocuarb_v01_G000389
Ocuarb_v01_G000390.t0	Ocuarb_v01_G000390
Ocuarb_v01_G000391.t0	Ocuarb_v01_G000391
Ocuarb_v01_G000392.t0	Ocuarb_v01_G000392
Ocuarb_v01_G000393.t0	Ocuarb_v01_G000393
Ocuarb_v01_G000395.t0	Ocuarb_v01_G000395
Ocuarb_v01_G000396.t0	Ocuarb_v01_G000396
Ocuarb_v01_G000397.t0	Ocuarb_v01_G000397
Ocuarb_v01_G000400.t0	Ocuarb_v01_G000400
Ocuarb_v01_G000401.t0	Ocuarb_v01_G000401
Ocuarb_v01_G000402.t0	Ocuarb_v01_G000402
Ocuarb_v01_G000403.t0	Ocuarb_v01_G000403
Ocuarb_v01_G000404.t0	Ocuarb_v01_G000404
Ocuarb_v01_G000405.t0	Ocuarb_v01_G000405
Ocuarb_v01_G000406.t0	Ocuarb_v01_G000406
Ocuarb_v01_G000407.t0	Ocuarb_v01_G000407
Ocuarb_v01_G000408.t0	Ocuarb_v01_G000408
Ocuarb_v01_G000409.t0	Ocuarb_v01_G000409
Ocuarb_v01_G000410.t0	Ocuarb_v01_G000410
Ocuarb_v01_G000411.t0	Ocuarb_v01_G000411
Ocuarb_v01_G000412.t0	Ocuarb_v01_G000412
Ocuarb_v01_G000413.t0	Ocuarb_v01_G000413
Ocuarb_v01_G000414.t0	Ocuarb_v01_G000414
Ocuarb_v01_G000414.t1	Ocuarb_v01_G000414
Ocuarb_v01_G000416.t0	Ocuarb_v01_G000416
Ocuarb_v01_G000417.t0	Ocuarb_v01_G000417
Ocuarb_v01_G000418.t0	Ocuarb_v01_G000418
Ocuarb_v01_G000418.t1	Ocuarb_v01_G000418
Ocuarb_v01_G000419.t0	Ocuarb_v01_G000419
Ocuarb_v01_G000419.t1	Ocuarb_v01_G000419
Ocuarb_v01_G000420.t0	Ocuarb_v01_G000420
Ocuarb_v01_G000421.t0	Ocuarb_v01_G000421
Ocuarb_v01_G000422.t0	Ocuarb_v01_G000422
Ocuarb_v01_G000423.t0	Ocuarb_v01_G000423
Ocuarb_v01_G000424.t0	Ocuarb_v01_G000424
