Xesp_000479-T1	Xesp_000479
Xesp_000480-T1	Xesp_000480
Xesp_000481-T1	Xesp_000481
Xesp_000482-T1	Xesp_000482
Xesp_000483-T1	Xesp_000483
Xesp_000484-T1	Xesp_000484
Xesp_000485-T1	Xesp_000485
Xesp_000486-T1	Xesp_000486
Xesp_000487-T1	Xesp_000487
Xesp_000488-T1	Xesp_000488
Xesp_000489-T1	Xesp_000489
Xesp_000490-T1	Xesp_000490
Xesp_000491-T1	Xesp_000491
Xesp_000492-T1	Xesp_000492
Xesp_000493-T1	Xesp_000493
Xesp_000494-T1	Xesp_000494
Xesp_000495-T1	Xesp_000495
Xesp_000496-T1	Xesp_000496
Xesp_000497-T1	Xesp_000497
Xesp_000498-T1	Xesp_000498
Xesp_000499-T1	Xesp_000499
Xesp_000500-T1	Xesp_000500
Xesp_000502-T1	Xesp_000502
Xesp_000503-T1	Xesp_000503
Xesp_000504-T1	Xesp_000504
Xesp_000505-T1	Xesp_000505
Xesp_000506-T1	Xesp_000506
Xesp_000507-T1	Xesp_000507
Xesp_000508-T1	Xesp_000508
Xesp_000509-T1	Xesp_000509
Xesp_000510-T1	Xesp_000510
Xesp_000511-T1	Xesp_000511
Xesp_000512-T1	Xesp_000512
Xesp_000513-T1	Xesp_000513
Xesp_000514-T1	Xesp_000514
Xesp_000515-T1	Xesp_000515
Xesp_000516-T1	Xesp_000516
Xesp_000517-T1	Xesp_000517
Xesp_000518-T1	Xesp_000518
Xesp_000519-T1	Xesp_000519
Xesp_000520-T1	Xesp_000520
Xesp_000521-T1	Xesp_000521
Xesp_000522-T1	Xesp_000522
Xesp_000523-T1	Xesp_000523
Xesp_000524-T1	Xesp_000524
Xesp_000525-T1	Xesp_000525
Xesp_000526-T1	Xesp_000526
Xesp_000527-T1	Xesp_000527
Xesp_000528-T1	Xesp_000528
Xesp_000529-T1	Xesp_000529
Xesp_000530-T1	Xesp_000530
Xesp_000531-T2	Xesp_000531
Xesp_000532-T1	Xesp_000532
Xesp_000533-T1	Xesp_000533
Xesp_000534-T1	Xesp_000534
Xesp_000535-T1	Xesp_000535
Xesp_000536-T1	Xesp_000536
Xesp_000537-T1	Xesp_000537
Xesp_000538-T1	Xesp_000538
Xesp_000539-T1	Xesp_000539
Xesp_000540-T1	Xesp_000540
Xesp_000541-T1	Xesp_000541
Xesp_000542-T1	Xesp_000542
Xesp_000543-T1	Xesp_000543
Xesp_000544-T1	Xesp_000544
Xesp_000545-T1	Xesp_000545
Xesp_000546-T1	Xesp_000546
Xesp_000547-T1	Xesp_000547
Xesp_000548-T1	Xesp_000548
Xesp_000549-T1	Xesp_000549
Xesp_000550-T1	Xesp_000550
Xesp_000551-T1	Xesp_000551
Xesp_000552-T1	Xesp_000552
Xesp_000553-T1	Xesp_000553
Xesp_000554-T1	Xesp_000554
Xesp_000555-T1	Xesp_000555
Xesp_000556-T1	Xesp_000556
