metacell	metacell_annotation	color	metacell_top_cell_type	metacell_ann_cell_type	metacell_top_leiden	metacell_ann_leiden
mc.0083	epidermis	cadetblue2	epidermis	epidermis|0.86;epidermis_like_1|0.14	lc015	lc015|0.69;lc001|0.14;lc011|0.10;lc034|0.06
mc.0036	epidermis	cadetblue2	epidermis	epidermis|0.92;epidermis_like_2|0.06	lc034	lc034|0.58;lc011|0.34;lc028|0.06
mc.0029	epidermis	cadetblue2	epidermis	epidermis|1.00	lc034	lc034|0.89;lc045|0.11
mc.0173	epidermis	cadetblue2	epidermis	epidermis|1.00	lc034	lc034|1.00
mc.0050	epidermis	cadetblue2	epidermis	epidermis|0.96	lc038	lc038|0.59;lc043|0.36
mc.0071	epidermis	cadetblue2	epidermis	epidermis|0.72;epidermis_like_1|0.21	lc038	lc038|0.56;lc001|0.16;lc043|0.12;lc004|0.05
mc.0148	epidermis	cadetblue2	epidermis	epidermis|0.98	lc038	lc038|0.95
mc.0208	epidermis	cadetblue2	epidermis	epidermis|0.92	lc043	lc043|0.76;lc011|0.09;lc038|0.08
mc.0064	epidermis	cadetblue2	epidermis	epidermis|0.99	lc043	lc043|0.93
mc.0093	epidermis	cadetblue2	epidermis	epidermis|0.97	lc045	lc045|0.89
mc.0188	epidermis	cadetblue2	epidermis	epidermis|0.63;neuron_7|0.16;neuron_2_precursors|0.15	lc045	lc045|0.24;lc034|0.22;lc011|0.18;lc030|0.16;lc021|0.15
mc.0203	epidermis	cadetblue2	epidermis	epidermis|0.41;epidermis_like_1|0.40;neuron_19|0.09;neuron_18|0.07	lc001	lc001|0.30;lc015|0.24;lc038|0.14;lc004|0.10;lc008|0.09;lc036|0.07
mc.0190	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.59;digestive_filaments_like|0.36	lc001	lc001|0.56;lc029|0.36
mc.0150	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.37;gland_1|0.36;digestive_filaments_like|0.10;neuron_7|0.09	lc001	lc001|0.36;lc024|0.36;lc029|0.10;lc030|0.09
mc.0004	epidermis_like_1	cadetblue3	epidermis_like_1	epidermis_like_1|0.91;digestive_filaments|0.08	lc001	lc001|0.61;lc004|0.29;lc005|0.08
